Epoch,Train Loss,Val Loss,Mean IoU,Time (s)
1,1.2539978240217482,4.92947793006897,0.10127867120562983,404.04138016700745
2,0.9614059116159167,6.039105415344238,0.10729682161561645,379.5672562122345
3,0.8155696775232043,2.1292396783828735,0.14631655843812502,334.1301009654999
4,0.7440690015043531,1.1876233518123627,0.2513259936166884,326.1225574016571
5,0.6904547342232296,1.703283429145813,0.20081775352337033,323.97956919670105
6,0.6208850613662175,0.7729926407337189,0.46011378311992496,323.6524729728699
7,0.5857957452535629,0.9650833308696747,0.37973467579437126,354.2787835597992
8,0.5891860063586917,1.1900655627250671,0.35589511749189773,378.2164809703827
9,0.5633448426212583,1.5631097555160522,0.2500237981784189,370.58050203323364
10,0.53345873100417,0.9524554312229156,0.4018326599143987,363.25449991226196
11,0.5336341368300574,1.263371765613556,0.3237412791221837,370.88026881217957
12,0.513749531337193,1.6453694105148315,0.23458547953983713,341.3085684776306
13,0.4972478875092098,0.7420070767402649,0.5112437345717111,325.38591051101685
14,0.4704662838152477,0.9917781054973602,0.4345783900525837,331.0985617637634
15,0.46102083367960794,1.1330797672271729,0.3943143615450856,336.0485670566559
16,0.45280965098312925,2.212748169898987,0.1608542892085318,372.3562562465668
17,0.4413173347711563,1.9025288820266724,0.2356944999633935,376.01722478866577
18,0.4377286902495793,1.939292550086975,0.28585066600600084,372.71231603622437
19,0.44434240247522083,1.238953709602356,0.24488080271655818,376.9501223564148
20,0.4195316199745451,1.3055410981178284,0.3122881259572322,418.79509687423706
21,0.4159846965755735,1.3033177852630615,0.33532377667876034,467.16627168655396
22,0.41686275388513294,0.8182767331600189,0.5130548473598988,567.3289265632629
23,0.39992669224739075,1.0865688025951385,0.376414028638896,382.4327940940857
24,0.3894660919904709,2.042595148086548,0.18750691873843195,326.63188886642456
25,0.3722642574991499,2.390146017074585,0.20018713585279882,326.36310386657715
26,0.3695892095565796,1.0792179703712463,0.4141093926333078,342.216943025589
27,0.3702814983470099,2.62721848487854,0.17965984684159914,326.8798391819
28,0.3536523495401655,1.326471745967865,0.3678047246452877,360.8522641658783
29,0.3592100058283125,0.538918137550354,0.5825695947327705,390.4008481502533
30,0.3685162237712315,0.9960564374923706,0.38891573550344344,352.6936979293823
31,0.3542085289955139,0.9882743656635284,0.38542969776331815,350.05237579345703
32,0.3625822237559727,1.0542398691177368,0.4103513117256633,348.6383638381958
33,0.33746126507009777,2.5112693309783936,0.17794499070532824,404.2482051849365
34,0.32996185549667906,1.0773422122001648,0.4219140152173617,394.2239828109741
35,0.32529640197753906,0.9510833919048309,0.437205619083431,386.6521599292755
36,0.31499232777527403,1.551243543624878,0.3037647562225501,351.48417115211487
37,0.3253480685608728,1.8418186902999878,0.22527126605575815,344.22630620002747
38,0.3186781704425812,1.477807641029358,0.304473086614825,359.854514837265
39,0.29660317514623913,2.422625184059143,0.20792647871018777,387.38660407066345
40,0.2894602364727429,0.9641647934913635,0.4507151396239929,390.7601776123047
41,0.28684390442711966,0.5418598800897598,0.6227580374053404,391.72115111351013
42,0.2894094043544361,0.864129900932312,0.4635208793430475,398.53905391693115
43,0.28041544769491467,1.561912715435028,0.27154469043001395,399.8254714012146
44,0.2633309428180967,0.7378816604614258,0.5211259672905392,388.8893039226532
45,0.2842633436833109,1.7947485446929932,0.2023234811129635,396.23174571990967
46,0.27361975078071865,1.731304109096527,0.2370382626402349,388.34385418891907
47,0.2750245322074209,1.5472097396850586,0.2882580446218873,389.5514509677887
48,0.2879108211823872,1.6249140501022339,0.3019828737247031,396.7077136039734
49,0.26496928610972,1.009432703256607,0.46430662022632185,430.72372555732727
50,0.24568817551646913,2.4291181564331055,0.22326647263931707,458.12839818000793


Fixed the mask transforms. Matchiung unknown pixel colours to nearest neighbour class. 
